id,type,topic,subtopic,difficulty,stem_or_prompt,optionA,optionB,optionC,optionD,correctIndex,marks,explanation,markingGuideline
MCQ-027,mcq,Act_Permits,PermitRequirement,easy,"For non-domestic building work in Victoria, above what value is a building permit required?","$5,000","$10,000","$12,000","$16,000",1,1,"Under the Building Act 1993, a building permit is required for non-domestic building work exceeding $10,000 in value.",
MCQ-028,mcq,NCC_Health,VentilationRequirements,medium,"In a Class 5 office building, what is the primary NCC requirement for ventilation of occupied spaces?",Natural ventilation only via openable windows,Mechanical ventilation in all cases,Either natural or mechanical ventilation to achieve required air changes,No specific requirement for office buildings,2,1,"NCC Section F allows either natural or mechanical ventilation for Class 5 buildings, provided the required air quality and air changes are achieved.",
MCQ-029,mcq,Structure_TiltPanels,TiltPanelErection,hard,"During tilt-up panel erection for a Class 8 warehouse, what is the critical structural consideration before releasing crane lifting strops?",That adjacent panels are already erected,That temporary bracing is installed and adequate to resist wind loads,That permanent roof structure is in place,That floor slab has achieved 28-day strength,1,1,Tilt panels must be adequately braced before releasing crane connections. Temporary bracing must be designed and installed to resist wind and other lateral loads until permanent bracing is in place.,
MCQ-030,mcq,Regs_Inspections,RecordOfInspection,medium,"Under Regulation 173, what information must be included in a record of inspection at a mandatory notification stage?",Only the date and outcome of inspection,"Date, location, elements inspected, outcome, and any non-compliance",The cost estimate for the inspected work,Photos of all inspected elements,1,1,"Regulation 173 requires records of inspection to include date, location, description of elements inspected, the outcome, and details of any non-compliance identified.",
MCQ-031,mcq,NCC_Fire,Sprinklers,medium,Under what circumstances might a sprinkler system allow concessions to other fire safety requirements in NCC Volume One?,Sprinklers never provide concessions,When installed to the appropriate AS standard and where specifically permitted by NCC provisions,Automatically for all Class 5-9 buildings,Only in buildings exceeding 25 metres in height,1,1,"NCC Volume One allows specific concessions where sprinkler systems are installed to appropriate standards (typically AS 2118.1), but only where expressly stated in particular provisions.",
MCQ-032,mcq,Safety_HRW,WorkingAtHeights,medium,What is the hierarchy of controls for managing fall risks when working at heights on a construction site?,"Safety harness, safety nets, edge protection, elimination","Elimination, edge protection, safety nets, safety harness","Training, signage, supervision, physical controls",Safety harness is always the primary control,1,1,"The hierarchy of controls for fall risks is: elimination (avoid work at height), edge protection/guardrails, safety nets, then personal fall arrest systems (harness) as last resort.",
MCQ-033,mcq,Act_Enforcement,DirectionsToFix,medium,"Under the Building Act 1993, if a relevant building surveyor issues a direction to fix non-compliant work, within what timeframe must the builder generally respond?",Immediately,As specified in the direction,Within 7 days,Within 30 days,1,1,"The Building Act allows the RBS to specify the timeframe for compliance in the direction to fix, which must be reasonable given the nature of the non-compliance.",
MCQ-034,mcq,NCC_Egress,ExitSigns,easy,"According to NCC Volume One, where must exit signs be installed in multi-storey commercial buildings?",Only at the final exit to a road or open space,At every doorway in the building,At exits and at points where direction to exits is not obvious,Exit signs are not required if emergency lighting is installed,2,1,NCC requires exit signs at exits and at locations where the direction to an exit is not readily apparent to occupants.,
MCQ-035,mcq,Regs_ProtectionWork,NotificationRequirements,hard,"When protection work is determined to be required under Building Regulations 2018, who must notify adjoining owners?",The builder only,The relevant building surveyor only,Both the builder and the building owner,The municipal council,2,1,Building Regulations 2018 require both the builder and the building owner to inform adjoining owners when protection work is required.,
MCQ-036,mcq,NCC_Services,FireHydrants,medium,For which building classes does NCC Volume One typically require fire hydrant systems?,All Class 2-9 buildings regardless of size,"Buildings based on classification, size, and rise in storeys",Only Class 9a hospitals,Class 5-9 buildings only,1,1,"NCC Section E requires fire hydrant systems based on building classification, floor area, and rise in storeys - not all buildings require them.",
MCQ-037,mcq,Business_FitProper,Registration,medium,What documentation must accompany a Commercial Builder (Medium Rise) registration application to the VBA?,Proof of insurance only,Technical referee reports from registered commercial builders,A list of completed projects only,A business plan,1,1,"VBA registration applications require technical referee reports from currently registered commercial builders in the same or higher class, along with other supporting documentation.",
MCQ-038,mcq,Structure_Slabs,VapourBarriers,medium,"Under NCC Volume One, when is a vapour barrier typically required beneath a concrete floor slab?",In all cases for Class 2-9 buildings,"Never, as concrete is impermeable",When required for moisture control and waterproofing,Only in Class 9a healthcare buildings,2,1,"NCC requires consideration of moisture control, and vapour barriers are required when necessary to prevent moisture transmission that could cause damage or health issues.",
MCQ-039,mcq,Regs_ESM,AnnualReporting,medium,"Under Building Regulations 2018, how frequently must essential safety measures be maintained and reported to the municipal building surveyor?",Monthly,Every 6 months,Annually,Every 2 years,2,1,Essential safety measures must be maintained in accordance with AS 1851 and reported annually to the relevant municipal building surveyor.,
MCQ-040,mcq,NCC_Fire,Atriums,hard,A Class 6 building contains a three-storey atrium. Which NCC sections must the building comply with?,Only Section C Fire Resistance,"Sections C, D, and E only","Sections C, D, E, G, and special atrium provisions",Standard requirements with no special atrium provisions,2,1,"NCC requires buildings with atriums to comply with Sections C (Fire), D (Egress), E (Services), G (Ancillary provisions), and specific atrium provisions regarding smoke control and fire safety.",
MCQ-041,mcq,Act_Permits,PermitApplications,medium,Who may apply for a building permit for commercial building work under the Building Act 1993?,Only the registered commercial builder,The building owner or person entitled to do so,Only the architect,Only the building surveyor,1,1,"Under the Building Act 1993, the building owner or person entitled to apply may submit a building permit application.",
MCQ-042,mcq,Safety_HRW,Scaffolding,medium,"Who is competent to erect, alter or dismantle scaffolding exceeding 4 metres in height?",Any construction worker with basic training,A person holding a scaffolding high risk work license,Only a structural engineer,The site supervisor,1,1,"WorkSafe Victoria requires persons erecting, altering or dismantling scaffolding over 4 metres to hold an appropriate scaffolding high risk work license.",
MCQ-043,mcq,NCC_Egress,DoorSwing,easy,In which direction must a door serving as a required exit generally swing?,Always outward in the direction of egress,Inward if serving less than 50 people,In the direction of egress if serving more than a threshold number of people,"Either direction, at the designer's choice",2,1,NCC requires doors in required exits to swing in the direction of egress when serving areas with occupancy above a threshold (typically 50 people).,
MCQ-044,mcq,Regs_Inspections,FinalInspection,medium,What must occur before a certificate of final inspection can be issued under Building Regulations 2018?,All building work must be complete and compliant,Only structural work must be complete,The builder must vacate the site,Landscaping must be complete,0,1,"A certificate of final inspection can only be issued when all building work is complete and complies with the Act, Regulations, and building permit.",
MCQ-045,mcq,NCC_Fire,NonCombustible,hard,"In a Type A construction building, which building elements must be constructed of non-combustible materials?",Only primary structural members,All building elements except where specific concessions apply,External walls only,Non-combustibility is not required for Type A,1,1,"NCC Type A construction requires building elements to be non-combustible, except where specific concessions in Specification C1.1 allow otherwise.",
MCQ-046,mcq,Structure_Steel,Fireproofing,medium,Structural steel columns in a Type B construction building require fire protection to achieve the specified FRL. What methods are commonly acceptable?,Paint coating only,"Concrete encasement, intumescent coating, or board protection",Steel columns do not require fire protection,Galvanising provides adequate fire protection,1,1,"Common methods for protecting structural steel include concrete encasement, intumescent coatings, or proprietary board systems, tested to achieve the required FRL.",
MCQ-047,mcq,Act_Enforcement,BuildingNotices,medium,What is the primary purpose of a building notice under the Building Act 1993?,To approve building plans,To notify of an inspection requirement,To direct attention to a matter requiring action without formal order,To grant a permit variation,2,1,"Building notices are less formal than building orders and serve to notify parties of matters requiring attention, prior to formal enforcement action.",
MCQ-048,mcq,Regs_Permits,PermitAmendments,medium,"Under Building Regulations 2018, who may approve an amendment to a building permit?",Only the original relevant building surveyor who issued the permit,Any private building surveyor,The relevant building surveyor currently responsible for the permit,Only the municipal building surveyor,2,1,"The relevant building surveyor currently responsible for the permit may approve amendments, even if different from the original issuer.",
MCQ-049,mcq,NCC_Health,SanitaryFacilities,medium,"For a Class 5 office building with 80 occupants, what determines the minimum number of sanitary facilities required?",One toilet per 20 occupants,NCC Table F2.3 based on occupant numbers and gender distribution,Local council requirements only,Two toilets minimum regardless of occupancy,1,1,"NCC Section F, Table F2.3 specifies minimum sanitary facilities based on building classification, occupant numbers, and gender distribution.",
MCQ-050,mcq,Safety_HRW,TrafficManagement,medium,"When construction work affects pedestrian or vehicle traffic on a public road, what is required?",Verbal notification to the council,An approved traffic management plan,Signage only,No specific requirement if work is temporary,1,1,"Work affecting public roads requires an approved traffic management plan prepared by a qualified person, addressing both pedestrian and vehicle safety.",
MCQ-051,mcq,NCC_Fire,FireDoors,medium,Fire doors in fire-isolated exits must be fitted with which of the following as a minimum?,A door closer only,Self-closing device or automatic closing mechanism,Electromagnetic hold-open device in all cases,Manual closing only is acceptable,1,1,NCC requires fire doors to be self-closing or fitted with an automatic closing mechanism activated by smoke detection.,
MCQ-052,mcq,Regs_ESM,OccupancyPermit,medium,Under what circumstances is an occupancy permit required for commercial building work in Victoria?,For all commercial buildings without exception,For new buildings and buildings where classification changes,Only for buildings exceeding three storeys,Occupancy permits are not required for commercial buildings,1,1,"Occupancy permits are required for new buildings and when a building's classification changes, with some specific exemptions outlined in the Regulations.",
MCQ-053,mcq,Business_FitProper,TechnicalReferees,hard,A technical referee for a Commercial Builder (Medium Rise) application must be registered in which class?,Any commercial builder class,Commercial Builder (Medium Rise) or Commercial Builder (Unlimited),Commercial Builder (Unlimited) only,Domestic Builder (Unlimited) is acceptable,1,1,"Technical referees must be registered in the same class or higher than the class being applied for. For Medium Rise, this means Medium Rise or Unlimited commercial builder.",
MCQ-054,mcq,Structure_TiltPanels,PanelDesign,hard,"In tilt-up construction, what critical design consideration ensures panels do not collapse outward during a fire?",Panel thickness only,Adequate connection to roof structure and positive restraint,Use of high-strength concrete,Panels are self-supporting and require no specific consideration,1,1,"NCC addresses tilt-up panel collapse risk by requiring adequate connection and restraint to prevent outward panel collapse during fire, particularly through roof/floor connections.",
MCQ-055,mcq,Act_Permits,RBSTransfer,medium,"Under the Building Act 1993, when can a private building surveyor transfer their functions to another building surveyor?",At any time with notice to the building owner,Never once appointed,Only with consent of the building owner and the Authority,Only if they retire from practice,2,1,Section 80C of the Building Act permits transfer of RBS functions with the consent of the building owner and notification/consent from the VBA.,
MCQ-056,mcq,NCC_Egress,EmergencyLighting,easy,"According to NCC Volume One, where is emergency lighting required?",In all rooms of all buildings,In paths of egress and exits in multi-storey buildings,Only in fire-isolated stairways,Emergency lighting is optional,1,1,"NCC Section E requires emergency lighting in paths of egress, exits, and key areas to ensure safe evacuation during power failure.",
MCQ-057,mcq,Regs_ProtectionWork,SupportWork,hard,"When excavation for a new building is likely to affect the support of an adjoining property, what must the builder do under Building Regulations 2018?",Proceed with standard excavation methods,Carry out protection work as determined by the RBS,Notify the adjoining owner only,Obtain insurance only,1,1,"When excavation may affect adjoining properties, the RBS determines if protection work is required, and the builder must carry out such work as specified.",
MCQ-058,mcq,NCC_Services,SmokeDetection,medium,"In a Class 5 office building, where are smoke detectors typically required?",In every room throughout the building,"In accordance with AS 1670.1, typically in circulation spaces and key areas",Only at exit doors,Smoke detectors are not required in Class 5 buildings,1,1,"NCC requires smoke detection systems in Class 5 buildings to be installed in accordance with AS 1670.1, typically covering circulation spaces, exits, and specific risk areas.",
MCQ-059,mcq,Safety_HRW,Excavation,medium,At what depth does an excavation require edge protection or barriers to prevent falls?,Any depth,Depths exceeding 1.5 metres,Depths exceeding 2 metres,Only when adjacent to public areas,2,1,WorkSafe Victoria requires edge protection for excavations exceeding 2 metres in depth to prevent fall risks to workers and the public.,
MCQ-060,mcq,Act_Enforcement,EmergencyOrders,medium,Under what circumstances can a municipal building surveyor issue an emergency order?,For any permit variation,When a building or part poses immediate danger to safety,To expedite permit approval,For minor non-compliance only,1,1,Emergency orders under the Building Act can be issued when a building or building work poses immediate danger to the safety of persons or property.,
MCQ-061,mcq,NCC_Fire,ExternalWalls,hard,"For a Type A construction building exceeding 25 metres in effective height, what requirements apply to external wall systems?",Any cladding material is acceptable,Must be non-combustible with limited exceptions,Only fire-tested systems complying with AS 5113,Either non-combustible or AS 5113 tested systems,3,1,NCC requires external walls in Type A buildings over 25m to be either non-combustible (with specific exceptions) or use systems tested to AS 5113.,
MCQ-062,mcq,Structure_Slabs,JointDesign,medium,"In large commercial floor slabs, what is the primary purpose of providing control joints?",To save concrete material,To control shrinkage cracking,To improve thermal performance,To allow for building movement only,1,1,Control joints in concrete slabs are designed to control the location of cracking due to shrinkage and thermal movement.,
MCQ-063,mcq,Regs_Inspections,DelegatedInspections,hard,"Under Building Regulations 2018, who may the RBS cause to carry out an inspection at a mandatory notification stage?",Only the RBS personally,A registered building inspector or other prescribed person,Any qualified engineer,The builder's site supervisor,1,1,"Regulation 174 allows the RBS to cause prescribed persons (registered building inspectors, engineers with appropriate expertise) to carry out inspections on their behalf.",
MCQ-064,mcq,Business_FitProper,CorporateRegistration,medium,"For a company to be registered as a Commercial Builder in Victoria, what is required?",At least one director must be a registered commercial builder,The company must be Australian-owned,All directors must be registered builders,Only companies with more than 10 employees can register,0,1,"For corporate registration, at least one director (nominee director) must hold individual registration as a commercial builder in the same class.",
MCQ-065,mcq,NCC_Egress,DisabledAccess,medium,"According to NCC Volume One, what minimum percentage of sanitary facilities in a commercial building must be accessible to people with disabilities?",10 percent,One accessible facility per floor as a minimum,50 percent of all facilities,All facilities must be accessible,1,1,"NCC Part D4 requires at least one accessible sanitary facility on each floor containing sanitary facilities, with additional requirements based on total number of facilities.",
MCQ-066,mcq,Act_Permits,BuildingPermitLevy,easy,Who is responsible for paying the building permit levy when a building permit is issued?,The relevant building surveyor,The building permit applicant,The commercial builder,The municipal council,1,1,The building permit levy is payable by the applicant for the building permit (typically the building owner).,
MCQ-067,mcq,Safety_HRW,ConfinedSpaces,medium,"Before workers enter a confined space on a construction site, what must be prepared?",A confined space entry permit and risk assessment,A notification to WorkSafe only,Standard SWMS are sufficient,No special preparation is required,0,1,"Confined space entry requires a specific entry permit, risk assessment, atmospheric testing, emergency procedures, and appropriately trained workers.",
MCQ-068,mcq,NCC_Fire,ServicePenetrations,hard,"When services penetrate a fire-rated floor in a Class 5 building, what is required?",No special treatment required,Penetrations must be sealed to maintain the FRL,Services cannot penetrate fire-rated elements,Only large penetrations require sealing,1,1,NCC requires service penetrations through fire-rated elements to be sealed with appropriate fire-stopping systems to maintain the FRL of the element.,
MCQ-069,mcq,Regs_ESM,MaintenanceSchedule,medium,What document specifies the maintenance schedule for essential safety measures in a building?,The building permit,The occupancy permit,AS 1851 and the occupancy permit,The commercial builder's warranty,2,1,"The occupancy permit specifies essential safety measures, and AS 1851 provides the maintenance requirements and frequencies for each type of ESM.",
MCQ-070,mcq,Structure_Steel,WeldInspection,medium,"For structural steel connections in a commercial building, what level of weld inspection is typically required?",Visual inspection by the welder only,Inspection by a qualified welding supervisor as specified by the engineer,No inspection is required if certified welders are used,Only final paint inspection is required,1,1,"Structural steel welding requires inspection by qualified personnel as specified by the structural engineer, often including both visual and non-destructive testing for critical connections.",
MCQ-071,mcq,NCC_Health,LightingLevels,medium,What minimum artificial lighting level is required for general circulation spaces in a Class 5 office building?,40 lux,80 lux,160 lux,320 lux,1,1,"NCC Section F references AS 1680 which requires minimum 80 lux for circulation spaces, with higher levels for work areas.",
MCQ-072,mcq,Act_Enforcement,WorksafeNotification,medium,Under what circumstances must construction work be notified to WorkSafe Victoria?,All commercial construction projects,"Projects exceeding $250,000 or involving specific high-risk work",Only when workplace incidents occur,Multi-storey buildings only,1,1,WorkSafe notification is required for construction projects exceeding prescribed cost thresholds or involving specific high-risk construction work.,
MCQ-073,mcq,Regs_Permits,PermitExtensions,medium,Can the commencement or completion dates specified in a building permit be extended?,"No, permits must be re-issued if dates pass","Yes, the RBS may grant extensions before the expiry date",Only the VBA can grant extensions,Extensions are automatic if work has commenced,1,1,Building Regulations allow the RBS to grant extensions to permit commencement or completion dates if applied for before the date passes.,
MCQ-074,mcq,NCC_Fire,HorizontalExits,hard,What is a horizontal exit according to NCC Volume One?,Any doorway on the ground floor,A way from one fire compartment to another providing safety from fire,An external exit door,A corridor longer than 40 metres,1,1,"A horizontal exit provides passage from one fire compartment to another on the same level, providing protection from fire effects without using stairs.",
MCQ-075,mcq,Safety_HRW,PoweredMobileP lant,medium,Who may operate a telescopic materials handler (telehandler) on a construction site?,Any construction worker,A person holding an appropriate high risk work license for the class of equipment,Only the plant owner,The site supervisor only,1,1,"Telehandlers typically require a high risk work license for the appropriate class of powered mobile plant, unless operation meets specific exemption criteria.",
PLAN-001,plan,NCC_Egress,TravelDistance,medium,"On the Level 1 plan of a three-storey Class 6 building, identify and mark the egress path from the most remote point within the retail tenancy to the nearest required exit. Show that your path satisfies the maximum travel distance requirements of NCC Volume One for Class 6 buildings.",,,,,,4,,"The path must: (1) Start from the most remote point in the tenancy, (2) Lead to a required exit (fire-isolated stair or direct exit to open space), (3) Follow a continuous accessible route, (4) Not exceed 40 metres to a choice point then 20 metres to an exit, or 20 metres to a single exit. Award marks for clear path, correct measurement points, and demonstrating understanding of NCC D2D5 travel distance limits for Class 6."
MCQ-076,mcq,Structure_TiltPanels,ConcreteStrength,medium,"Before lifting a tilt-up concrete panel, what minimum concrete strength is typically required?",15 MPa,"The strength specified by the structural engineer, typically 75-80% of design strength",Full 28-day design strength,Any strength if adequate crane capacity,1,1,"Tilt-up panels require the concrete strength specified by the structural engineer before lifting, typically 75-80% of design strength to safely resist lifting stresses.",
MCQ-077,mcq,Regs_Inspections,FrameInspection,medium,At what stage is inspection of structural steel framing typically required?,After all members are erected and before cladding,Only after paint application,Before any members are erected,Inspection is not required for structural steel,0,1,"While not a prescribed mandatory stage, RBS typically require inspection of structural steel framing after erection and before enclosure to verify compliance with engineering drawings.",
MCQ-078,mcq,NCC_Services,FireControlRoom,hard,For which buildings does NCC Volume One require a fire control room?,All Class 5-9 buildings,"Buildings with specific classifications, height, or occupancy thresholds",Only Class 9a hospitals,Fire control rooms are optional,1,1,"NCC Section E requires fire control rooms for buildings meeting specific criteria based on classification, effective height, or occupancy load.",
MCQ-079,mcq,Act_Permits,PermitConditions,medium,Can a relevant building surveyor impose conditions on a building permit beyond the requirements of the Building Regulations?,"No, only prescribed conditions are permitted","Yes, but only conditions reasonably required for compliance","Yes, any conditions the RBS chooses",Only the VBA can impose additional conditions,1,1,"RBS may impose reasonable conditions on building permits that are necessary to ensure compliance with the Act, Regulations, and NCC.",
MCQ-080,mcq,Business_FitProper,Insurance,medium,What insurance must a registered commercial builder hold in Victoria?,Public liability insurance only,Professional indemnity and public liability insurance,No insurance is required for registration,Workers compensation only,1,1,"Registered commercial builders must hold professional indemnity insurance and public liability insurance as conditions of registration, in addition to workers compensation if they employ workers.",
